age,lambda_final,lambda_init,delta_lambda,lambda_stage1_adult_extrapolated,z_P,note
14.4,-0.9674401104450225,-1.616810917854309,0.6493708074092865,-1.3725361883949285,0.6000000000000001,lambda0/beta are single scalars shared across heads (not per-head)
14.5,-0.9664138704538345,-1.616810917854309,0.6503970474004745,-1.373035360128715,0.6111111111111112,lambda0/beta are single scalars shared across heads (not per-head)
14.600000000000001,-0.9653876304626465,-1.616810917854309,0.6514232873916626,-1.3735345318625016,0.6222222222222223,lambda0/beta are single scalars shared across heads (not per-head)
14.700000000000001,-0.9643613904714584,-1.616810917854309,0.6524495273828507,-1.3740337035962882,0.6333333333333334,lambda0/beta are single scalars shared across heads (not per-head)
14.8,-0.9633351504802704,-1.616810917854309,0.6534757673740387,-1.3745328753300747,0.6444444444444445,lambda0/beta are single scalars shared across heads (not per-head)
14.9,-0.9623089104890823,-1.616810917854309,0.6545020073652268,-1.3750320470638613,0.6555555555555556,lambda0/beta are single scalars shared across heads (not per-head)
15.0,-0.9612826704978943,-1.616810917854309,0.6555282473564148,-1.3755312187976478,0.6666666666666666,lambda0/beta are single scalars shared across heads (not per-head)
15.100000000000001,-0.9602564305067063,-1.616810917854309,0.6565544873476028,-1.3760303905314344,0.6777777777777779,lambda0/beta are single scalars shared across heads (not per-head)
15.200000000000001,-0.9592301905155182,-1.616810917854309,0.6575807273387909,-1.376529562265221,0.688888888888889,lambda0/beta are single scalars shared across heads (not per-head)
15.3,-0.9582039505243302,-1.616810917854309,0.6586069673299789,-1.3770287339990075,0.7000000000000001,lambda0/beta are single scalars shared across heads (not per-head)
15.4,-0.957177710533142,-1.616810917854309,0.659633207321167,-1.377527905732794,0.7111111111111111,lambda0/beta are single scalars shared across heads (not per-head)
15.5,-0.956151470541954,-1.616810917854309,0.660659447312355,-1.3780270774665806,0.7222222222222222,lambda0/beta are single scalars shared across heads (not per-head)
